cliente_id,churn,cliente_idoso,cliente_tem_parceiro,cliente_tem_dependentes,meses_contrato,servico_telefonico,multiplas_linhas,assinatura_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_a_cabo,streaming_filmes,contrato,fatura_online,forma_pagamento,faturamento_mensal,faturamento_total,cliente_masculino,contas_diarias
0123-CRBRT,False,False,True,True,61,True,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,False,Cheque,88.1,5526.75,False,2.9366666666666665
0125-LZQXK,True,False,False,False,15,True,Não,Fibra Ótica,Não,Não,Sim,Sim,Sim,Sim,Mensal,True,Cheque eletrônico,101.35,1553.95,True,3.378333333333333
0128-MKWSG,False,False,False,True,26,False,Sem serviço telefónico,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,False,Cheque,45.8,1147.0,False,1.5266666666666666
0129-KPTWJ,False,False,True,False,72,True,Não,Fibra Ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,True,Cheque eletrônico,94.65,6747.35,True,3.1550000000000002
0129-QMPDR,False,False,True,True,44,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,True,Transferência bancária,20.5,865.05,True,0.6833333333333333
0130-SXOUN,False,False,False,False,66,True,Sim,Fibra Ótica,Não,Sim,Não,Não,Não,Sim,Mensal,False,Cartão de crédito,89.4,5976.9,True,2.98
0133-BMFZO,True,False,False,False,2,True,Não,Fibra Ótica,Sim,Sim,Não,Sim,Não,Não,Mensal,True,Cheque eletrônico,86.25,181.65,False,2.875
0134-XWXCE,False,True,False,False,44,True,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,False,Transferência bancária,74.85,3268.05,False,2.4949999999999997
0135-NMXAP,True,False,False,False,12,True,Sim,Fibra Ótica,Não,Sim,Não,Não,Sim,Não,Mensal,True,Transferência bancária,89.75,1052.4,False,2.9916666666666667
0136-IFMYD,False,True,True,False,69,True,Sim,Fibra Ótica,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,True,Cheque eletrônico,109.95,7634.25,True,3.665
0137-OCGAB,True,False,False,False,1,True,Sim,Fibra Ótica,Não,Sim,Não,Não,Não,Não,Mensal,True,Cheque,80.2,80.2,False,2.6733333333333333
0137-UDEUO,True,False,False,False,3,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,False,Cheque,19.85,63.75,False,0.6616666666666667
0139-IVFJG,False,False,True,False,2,True,Não,Fibra Ótica,Sim,Sim,Não,Não,Sim,Não,Mensal,False,Cheque eletrônico,90.35,190.5,False,3.0116666666666663
0141-YEAYS,False,True,False,False,27,True,Sim,Fibra Ótica,Não,Sim,Sim,Não,Não,Não,Mensal,True,Transferência bancária,86.45,2401.05,False,2.881666666666667
0142-GVYSN,False,False,False,False,26,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,True,Cheque eletrônico,20.3,511.25,True,0.6766666666666666
0147-ESWWR,False,True,True,False,39,True,Sim,Fibra Ótica,Não,Não,Não,Sim,Sim,Sim,Mensal,True,Cheque eletrônico,101.25,3949.15,False,3.375
0148-DCDOS,True,False,False,False,25,True,Sim,Fibra Ótica,Não,Não,Não,Não,Sim,Sim,Mensal,True,Transferência bancária,94.7,2362.1,True,3.1566666666666667
0151-ONTOV,True,False,False,False,1,True,Não,Fibra Ótica,Não,Não,Não,Não,Não,Não,Mensal,False,Cheque,70.9,70.9,False,2.3633333333333337
0156-FVPTA,True,False,True,False,22,True,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,True,Cheque eletrônico,54.2,1152.7,True,1.8066666666666669
0164-APGRB,False,False,False,False,72,True,Sim,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,True,Cheque eletrônico,114.9,8496.7,False,3.83
0164-XAIRP,False,False,False,False,24,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,True,Transferência bancária,19.55,470.2,False,0.6516666666666667
0168-XZKBB,False,False,True,False,19,True,Sim,Fibra Ótica,Não,Não,Não,Não,Sim,Não,Mensal,True,Cheque eletrônico,86.85,1564.4,False,2.895
0174-QRVVY,False,False,True,True,71,True,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,False,Cartão de crédito,25.35,1847.55,True,0.8450000000000001
0177-PXBAT,False,True,True,False,33,True,Sim,Fibra Ótica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,True,Transferência bancária,109.9,3694.7,True,3.6633333333333336
0178-CIIKR,False,False,False,False,3,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,False,Cheque,19.95,58.0,False,0.6649999999999999
0178-SZBHO,False,False,True,True,47,True,Sim,Fibra Ótica,Não,Sim,Não,Não,Sim,Não,Mensal,False,Cheque eletrônico,87.2,4017.45,True,2.9066666666666667
0181-RITDD,False,False,True,True,62,True,Não,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,False,Cheque,108.15,6825.65,True,3.605
0186-CAERR,False,False,False,False,71,True,Sim,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,True,Transferência bancária,116.3,8309.55,True,3.8766666666666665
0187-QSXOE,False,True,True,False,7,True,Não,Fibra Ótica,Não,Não,Não,Não,Sim,Sim,Mensal,True,Cheque eletrônico,89.0,605.45,True,2.966666666666667
0187-WZNAB,False,False,True,True,27,True,Não,Fibra Ótica,Sim,Não,Não,Não,Não,Não,Mensal,False,Cheque,74.4,1972.35,False,2.48
0188-GWFLE,False,False,False,False,2,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,False,Cheque,20.05,33.7,True,0.6683333333333333
0191-EQUUH,False,False,False,True,25,False,Sem serviço telefónico,DSL,Sim,Não,Não,Sim,Não,Não,Dois anos,False,Transferência bancária,35.05,844.45,False,1.1683333333333332
0191-ZHSKZ,False,True,False,False,30,True,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,True,Cheque eletrônico,74.75,2111.3,True,2.4916666666666667
0193-ESZXP,True,True,True,False,58,True,Não,Fibra Ótica,Sim,Sim,Não,Sim,Sim,Sim,Anual,True,Cartão de crédito,105.5,6205.5,False,3.5166666666666666
0195-IESCP,True,False,True,False,10,True,Sim,Fibra Ótica,Não,Não,Não,Não,Não,Sim,Mensal,True,Cheque eletrônico,85.25,855.3,True,2.841666666666667
0196-JTUQI,False,False,False,False,9,True,Sim,Fibra Ótica,Não,Não,Não,Não,Não,Não,Mensal,True,Cartão de crédito,75.2,633.85,False,2.506666666666667
0196-VULGZ,True,True,True,False,6,True,Sim,Fibra Ótica,Não,Não,Não,Não,Não,Sim,Mensal,True,Cheque eletrônico,84.35,474.9,False,2.8116666666666665
0197-PNKNK,False,False,True,True,69,True,Sim,Fibra Ótica,Sim,Não,Sim,Não,Não,Não,Anual,False,Transferência bancária,84.45,5848.6,False,2.815
0201-MIBOL,False,True,False,False,66,True,Sim,Fibra Ótica,Sim,Não,Não,Não,Sim,Sim,Dois anos,True,Transferência bancária,102.4,6471.85,False,3.4133333333333336
0201-OAMXR,True,False,False,False,70,True,Sim,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,False,Cartão de crédito,115.55,8127.6,False,3.8516666666666666
0203-HHYIJ,True,False,False,False,25,True,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,False,Transferência bancária,25.3,676.35,True,0.8433333333333334
0206-OYVOC,False,False,True,True,46,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,True,Cheque,19.25,864.2,False,0.6416666666666667
0206-TBWLC,False,False,True,False,54,True,Sim,Fibra Ótica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,True,Cheque,114.65,6049.5,False,3.8216666666666668
0207-MDKNV,True,False,False,False,15,True,Não,Fibra Ótica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,False,Cheque eletrônico,105.1,1582.75,False,3.503333333333333
0208-BPQEJ,False,False,True,True,12,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,False,Transferência bancária,19.4,198.1,False,0.6466666666666666
0212-ISBBF,False,False,False,False,22,False,Sem serviço telefónico,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,True,Cheque eletrônico,50.35,1098.85,False,1.6783333333333335
0214-JHPFW,False,False,True,False,70,False,Sem serviço telefónico,DSL,Não,Sim,Sim,Sim,Sim,Sim,Dois anos,False,Transferência bancária,57.8,4039.3,False,1.9266666666666665
0215-BQKGS,False,False,False,False,30,True,Não,Fibra Ótica,Sim,Sim,Sim,Não,Não,Não,Mensal,True,Cartão de crédito,84.3,2438.6,True,2.81
0218-QNVAS,False,False,True,True,71,True,Sim,Fibra Ótica,Não,Sim,Não,Não,Sim,Sim,Anual,False,Transferência bancária,100.55,7113.75,True,3.3516666666666666
0219-QAERP,False,False,True,False,30,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,False,Cartão de crédito,19.8,576.65,True,0.66
0219-YTZUE,True,False,True,True,4,True,Sim,Fibra Ótica,Não,Sim,Sim,Não,Não,Não,Mensal,True,Transferência bancária,84.8,371.9,True,2.8266666666666667
0220-EBGCE,True,False,False,False,2,True,Não,Fibra Ótica,Não,Não,Sim,Não,Não,Sim,Mensal,True,Cheque eletrônico,85.85,167.3,True,2.8616666666666664
0221-NAUXK,False,False,False,True,10,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,True,Transferência bancária,19.95,219.5,True,0.6649999999999999
0221-WMXNQ,False,True,False,False,4,True,Não,Fibra Ótica,Sim,Não,Não,Não,Não,Não,Mensal,False,Cheque eletrônico,75.35,273.4,True,2.5116666666666663
0222-CNVPT,False,True,False,False,52,False,Sem serviço telefónico,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,True,Cartão de crédito,48.8,2555.05,True,1.6266666666666665
0224-HJAPT,True,False,False,False,5,True,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,False,Cheque eletrônico,47.15,223.15,True,1.5716666666666665
0224-NIJLP,False,False,True,True,8,True,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Dois anos,False,Cheque,20.15,165.5,True,0.6716666666666666
0224-RLWWD,False,True,False,False,2,True,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,True,Cheque eletrônico,44.3,89.3,False,1.4766666666666666
0225-ZORZP,False,False,False,False,3,True,Não,Fibra Ótica,Não,Sim,Não,Não,Não,Sim,Mensal,False,Cheque eletrônico,84.3,235.05,True,2.81
0228-MAUWC,False,False,False,False,19,True,Sim,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,False,Cheque eletrônico,59.55,1144.6,True,1.9849999999999999
0229-LFJAF,False,False,False,False,72,True,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Dois anos,False,Transferência bancária,69.65,4908.25,True,2.3216666666666668
0230-UBYPQ,False,True,True,False,63,False,Sem serviço telefónico,DSL,Sim,Não,Não,Sim,Não,Não,Anual,False,Transferência bancária,36.1,2298.9,True,1.2033333333333334
0230-WEQUW,False,False,True,False,66,False,Sem serviço telefónico,DSL,Sim,Sim,Sim,Sim,Sim,Não,Dois anos,True,Transferência bancária,56.6,3789.2,True,1.8866666666666667
0231-LXVAP,True,False,False,False,1,True,Não,Fibra Ótica,Não,Não,Não,Sim,Não,Não,Mensal,True,Cheque eletrônico,75.9,75.9,True,2.5300000000000002
0233-FTHAV,False,False,False,False,60,True,Sim,Fibra Ótica,Não,Não,Sim,Não,Não,Não,Anual,True,Transferência bancária,79.2,4765.0,False,2.64
0234-TEVTT,False,False,True,True,48,False,Sem serviço telefónico,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,False,Cartão de crédito,45.0,2196.3,False,1.5
0235-KGSLC,True,False,False,False,1,True,Não,Fibra Ótica,Não,Não,Sim,Não,Sim,Não,Mensal,True,Cartão de crédito,85.55,85.55,False,2.8516666666666666
0236-HFWSV,True,False,False,False,15,True,Sim,Fibra Ótica,Não,Não,Não,Não,Sim,Sim,Mensal,True,Cheque eletrônico,93.35,1444.65,True,3.1116666666666664
0237-YFUTL,False,False,True,False,50,True,Sim,Fibra Ótica,Sim,Sim,Não,Sim,Sim,Sim,Mensal,True,Transferência bancária,109.65,5405.8,False,3.6550000000000002
